"Date","hour","Weekday","Peakhour","TemperatureF","Humidity","predicted.kwh"
"10/12/2016","13",1,1,62.1,60,297.542436015292
"10/12/2016","14",1,1,62.1,60,297.542436015292
"10/12/2016","15",1,1,61,70,290.477543270008
"10/12/2016","16",1,1,62.1,72,291.204417984838
"10/12/2016","17",1,1,60.1,78,285.05090819367
"10/12/2016","18",1,1,59,75,284.747848525149
"10/12/2016","19",1,1,57,81,278.568091123098
"10/12/2016","20",1,0,55.9,75,154.564972165341
"10/12/2016","21",1,0,54,86,146.117912922714
"10/12/2016","22",1,0,53.1,93,141.415636068252
"10/12/2016","23",1,0,53.1,93,141.415636068252
"10/13/2016","0",1,0,52,97,137.768647146528
"10/13/2016","1",1,0,52,97,137.768647146528
"10/13/2016","2",1,0,52,97,137.768647146528
"10/13/2016","3",1,0,54,93,142.945689743288
"10/13/2016","4",1,0,55,93,144.630870064811
"10/13/2016","5",1,0,55,93,144.630870064811
"10/13/2016","6",1,0,55,93,144.630870064811
"10/13/2016","7",1,0,55.9,93,146.134480636308
"10/13/2016","8",1,1,57.9,90,275.871760829684
"10/13/2016","9",1,1,63,84,286.791710487541
"10/13/2016","10",1,1,64.9,78,292.605680558493
"10/13/2016","11",1,1,68,65,303.933835032358
"10/13/2016","12",1,1,69.1,61,307.747103493588
"10/13/2016","13",1,1,71.1,57,312.951415935848
"10/13/2016","14",1,1,71.1,53,315.263718231165
"10/13/2016","15",1,1,70,53,313.634468956333
"10/13/2016","16",1,1,69.1,53,312.291901005263
"10/13/2016","17",1,1,68,56,308.897013909751
"10/13/2016","18",1,1,64.9,73,295.072573028227
"10/13/2016","19",1,1,64,75,292.681301822492
"10/13/2016","20",1,0,63,75,166.02580857648
"10/13/2016","21",1,0,61,75,162.865799459412
"10/13/2016","22",1,0,60.1,75,161.426906475305
"10/13/2016","23",1,0,57.9,75,157.8635800506
"10/14/2016","0",1,0,55,69,156.09297246253
"10/14/2016","1",1,0,52,61,155.245285141928
"10/14/2016","2",1,0,50,61,151.761062946578
"10/14/2016","3",1,0,48.9,64,148.188305552207
"10/14/2016","4",1,0,48,63,147.11764535248
"10/14/2016","5",1,0,46.9,61,146.219778470707
"10/14/2016","6",1,0,46,61,144.576940219112
"10/14/2016","7",1,0,46.9,59,147.326564314171
"10/14/2016","8",1,1,48,56,276.103488310167
"10/14/2016","9",1,1,50,52,281.991748898826
"10/14/2016","10",1,1,52,49,287.285717075084
"10/14/2016","11",1,1,55,45,294.890252875744
"10/14/2016","12",1,1,55.9,42,298.343866760282
"10/14/2016","13",1,1,57.9,39,303.663456400593
"10/14/2016","14",1,1,59,36,307.553750358255
"10/14/2016","15",1,1,59,35,308.273183991741
"10/14/2016","16",1,1,55,57,287.675098851768
"10/14/2016","17",1,1,53.1,59,283.334155482313
"10/14/2016","18",1,1,52,63,279.250799774317
"10/14/2016","19",1,1,52,66,277.649528520121
"10/14/2016","20",1,0,53.1,55,160.511202571965
"10/14/2016","21",1,0,52,50,161.5821645483
"10/14/2016","22",1,0,48.9,54,153.773767169079
"10/14/2016","23",1,0,48,52,153.342816672339
